name,year,rating,length,reviews
1917,2019,8.2,1h 59m,671K
Taxi Driver,1976,8.2,1h 54m,917K
Der Untergang,2004,8.2,2h 36m,374K
Dangal,2016,8.3,2h 41m,209K
Per qualche dollaro in più,1965,8.2,2h 12m,274K
Batman Begins,2005,8.2,2h 20m,1.6M
The Wolf of Wall Street,2013,8.2,3h,1.6M
Some Like It Hot,1959,8.2,2h 1m,283K
The Kid,1921,8.2,1h 8m,134K
Green Book,2018,8.2,2h 10m,565K
The Father,2020,8.2,1h 37m,191K
Judgment at Nuremberg,1961,8.3,2h 59m,85K
All About Eve,1950,8.2,2h 18m,138K
Top Gun: Maverick,2022,8.2,2h 10m,687K
The Truman Show,1998,8.2,1h 43m,1.2M
Shutter Island,2010,8.2,2h 18m,1.4M
There Will Be Blood,2007,8.2,2h 38m,639K
Casino,1995,8.2,2h 58m,562K
Ran,1985,8.2,2h 40m,136K
Jurassic Park,1993,8.2,2h 7m,1.1M
The Sixth Sense,1999,8.2,1h 47m,1M
El Laberinto Del Fauno,2006,8.2,1h 58m,701K
Unforgiven,1992,8.2,2h 10m,435K
No Country for Old Men,2007,8.2,2h 2m,1.1M
A Beautiful Mind,2001,8.2,2h 15m,984K
The Thing,1982,8.2,1h 49m,464K
The Treasure of the Sierra Madre,1948,8.2,2h 6m,132K
Kill Bill: Vol,2003,8.2,1h 51m,1.2M
Yojimbo,1961,8.2,1h 50m,131K
Monty Python and the Holy Grail,1975,8.2,1h 31m,569K
The Great Escape,1963,8.2,2h 52m,258K
Finding Nemo,2003,8.2,1h 40m,1.1M
Rashōmon,1950,8.2,1h 28m,180K
Prisoners,2013,8.2,2h 33m,805K
Hauru No Ugoku Shiro,2004,8.2,1h 59m,446K
The Elephant Man,1980,8.2,2h 4m,258K
Chinatown,1974,8.1,2h 10m,349K
Dial M for Murder,1954,8.2,1h 45m,188K
Gone with the Wind,1939,8.2,3h 58m,333K
V for Vendetta,2005,8.2,2h 12m,1.2M
"Lock, Stock and Two Smoking Barrels",1998,8.1,1h 47m,615K
El Secreto De Sus Ojos,2009,8.2,2h 9m,222K
Inside Out,2015,8.1,1h 35m,781K
Raging Bull,1980,8.1,2h 9m,379K
"Three Billboards Outside Ebbing, Missouri",2017,8.1,1h 55m,553K
Trainspotting,1996,8.1,1h 33m,724K
The Bridge on the River Kwai,1957,8.1,2h 41m,233K
Spider-Man: No Way Home,2021,8.2,2h 28m,873K
Fargo,1996,8.1,1h 38m,724K
Klaus,2019,8.2,1h 36m,189K
Warrior,2011,8.1,2h 20m,497K
Catch Me If You Can,2002,8.1,2h 21m,1.1M
Godzilla Minus One,2023,8.3,2h 4m,47K
Gran Torino,2008,8.1,1h 56m,813K
My Neighbour Totoro,1988,8.1,1h 26m,378K
Million Dollar Baby,2004,8.1,2h 12m,720K
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,2h 10m,944K
Bacheha-Ye Aseman,1997,8.2,1h 29m,80K
12 Years a Slave,2013,8.1,2h 14m,739K
Blade Runner,1982,8.1,1h 57m,820K
Before Sunrise,1995,8.1,1h 41m,338K
The Grand Budapest Hotel,2014,8.1,1h 39m,883K
Ben-Hur,1959,8.1,3h 32m,253K
Barry Lyndon,1975,8.1,3h 5m,182K
Gone Girl,2014,8.1,2h 29m,1.1M
Hacksaw Ridge,2016,8.1,2h 19m,591K
The Gold Rush,1925,8.1,1h 35m,118K
Salinui Chueok,2003,8.1,2h 11m,215K
In the Name of the Father,1993,8.1,2h 13m,186K
Dead Poets Society,1989,8.1,2h 8m,543K
On the Waterfront,1954,8.1,1h 48m,164K
The General,1926,8.1,1h 18m,98K
The Deer Hunter,1978,8.1,3h 3m,361K
